# time(fs)  total O H
3.200000000000000000e+02 1.616916704795653623e-05 -7.641402128999837335e-05 9.258318833795489602e-05
3.220000000000000000e+02 -8.774101561270916325e-08 -7.526563333075556126e-05 7.517789231514286565e-05
3.240000000000000000e+02 -1.120070882488985860e-04 -7.449081582366448334e-05 -3.751627242523410940e-05
3.260000000000000000e+02 -2.846788181142570723e-04 -7.391060692864816976e-05 -2.107682111856089161e-04
3.280000000000000000e+02 -4.252642809030414547e-04 -7.310247835010226459e-05 -3.521618025529392850e-04
3.300000000000000000e+02 -4.562601152495042206e-04 -7.175530646980312808e-05 -3.845048087797010654e-04
3.320000000000000000e+02 -3.792841398786631459e-04 -6.990474591251941388e-05 -3.093793939661437049e-04
3.340000000000000000e+02 -2.506131062998853513e-04 -6.777153059419641307e-05 -1.828415757056889247e-04
3.360000000000000000e+02 -1.158299924974082114e-04 -6.550440381538647232e-05 -5.032558868202172554e-05
3.380000000000000000e+02 2.907715534426074876e-06 -6.319700223287994900e-05 6.610471776730602938e-05
3.400000000000000000e+02 7.263037007247520149e-05 -6.105193781893995971e-05 1.336823078914151476e-04
3.420000000000000000e+02 5.160294613515725205e-05 -5.930195783216186571e-05 1.109049039673191381e-04
3.440000000000000000e+02 -6.073600385596641818e-05 -5.793941705710390803e-05 -2.796586798862504648e-06
3.460000000000000000e+02 -2.014935543238284468e-04 -5.665933056132830403e-05 -1.448342237625001631e-04
3.480000000000000000e+02 -2.949258147505081891e-04 -5.514310254492071943e-05 -2.397827122055874900e-04
3.500000000000000000e+02 -3.117354974453359498e-04 -5.330836329015923187e-05 -2.584271341551766976e-04
3.520000000000000000e+02 -2.661965308684452426e-04 -5.122499939764590775e-05 -2.149715314707993077e-04
3.540000000000000000e+02 -1.778334505276720162e-04 -4.892894604007353961e-05 -1.289045044875984495e-04
3.560000000000000000e+02 -6.340156600936120476e-05 -4.645345532861216655e-05 -1.694811068074904498e-05
3.580000000000000000e+02 3.952804040838816136e-05 -4.398793705910579709e-05 8.351597746749395168e-05
