# wavenumber(cm^-1)  total O H
9.202329774753707170e+02 2.669128254299743541e-01 7.685469094774542275e-04 2.661442785204969352e-01
9.243048048093326088e+02 2.600421028449911853e-01 7.497708594855084525e-04 2.592923319855056086e-01
9.283766321432942732e+02 2.531926562926852808e-01 7.311044272909534864e-04 2.524615518653943180e-01
9.324484594772562787e+02 2.463323243502055226e-01 7.124210671752154514e-04 2.456199032830303219e-01
9.365202868112179431e+02 2.394356282052251816e-01 6.936338628128742387e-04 2.387419943424122226e-01
9.405921141451797212e+02 2.324852546863092617e-01 6.747060437995326459e-04 2.318105486425097728e-01
9.446639414791416129e+02 2.254706145335361733e-01 6.556453532959962468e-04 2.248149691802401873e-01
9.487357688131035047e+02 2.183856073777146745e-01 6.364872835085587854e-04 2.177491200942061056e-01
9.528075961470652828e+02 2.112278313539349972e-01 6.172758538439499995e-04 2.106105555000910012e-01
9.568794234810269472e+02 2.040005698056813477e-01 5.980507620346596932e-04 2.034025190436466735e-01
9.609512508149888390e+02 1.967173438133707764e-01 5.788463597450416382e-04 1.961384974536257153e-01
9.650230781489506171e+02 1.894072690217004917e-01 5.597023502677732571e-04 1.888475666714326540e-01
9.690949054829125089e+02 1.821185516320159847e-01 5.406806106101832727e-04 1.815778710214057956e-01
9.731667328168744007e+02 1.749176237464511452e-01 5.218793350859963261e-04 1.743957444113651556e-01
9.772385601508361788e+02 1.678826711386366966e-01 5.034361224221801500e-04 1.673792350162144893e-01
9.813103874847980705e+02 1.610922382496214056e-01 4.855155890328829646e-04 1.606067226605885079e-01
9.853822148187597350e+02 1.546115097234176672e-01 4.682830851531944480e-04 1.541432266382644634e-01
9.894540421527215130e+02 1.484800373609705404e-01 4.518717949878608173e-04 1.480281655659826667e-01
9.935258694866834048e+02 1.427046226702745058e-01 4.363536862457012165e-04 1.422682689840288062e-01
9.975976968206452966e+02 1.372597299090554390e-01 4.217241720323980955e-04 1.368380057370230385e-01
1.001669524154607075e+03 1.320956088933878947e-01 4.079061412692765306e-04 1.316877027521186072e-01
1.005741351488568739e+03 1.271519860804583291e-01 3.947727438413457172e-04 1.267572133366169918e-01
